kode_wilayah,provinsi,tahun,luas_ha,nilai_nol,tahun_parsial
61,Kalimantan Barat,2012,98651.0,False,False
61,Kalimantan Barat,2013,21232.0,False,False
61,Kalimantan Barat,2014,196147.0,False,False
61,Kalimantan Barat,2015,93515.8,False,False
61,Kalimantan Barat,2016,9174.19,False,False
61,Kalimantan Barat,2017,7467.33,False,False
61,Kalimantan Barat,2018,68422.03,False,False
61,Kalimantan Barat,2019,151919.0,False,False
61,Kalimantan Barat,2020,7646.0,False,False
61,Kalimantan Barat,2021,20590.0,False,False
61,Kalimantan Barat,2022,21836.0,False,False
61,Kalimantan Barat,2023,111848.43,False,False
61,Kalimantan Barat,2024,24154.63,False,False
61,Kalimantan Barat,2025,26702.81,False,False
61,Kalimantan Barat,2026,38310.86,False,True
63,Kalimantan Selatan,2012,51793.0,False,False
63,Kalimantan Selatan,2013,18928.0,False,False
63,Kalimantan Selatan,2014,70205.0,False,False
63,Kalimantan Selatan,2015,196516.77,False,False
63,Kalimantan Selatan,2016,2331.96,False,False
63,Kalimantan Selatan,2017,8290.34,False,False
63,Kalimantan Selatan,2018,98637.99,False,False
63,Kalimantan Selatan,2019,137848.0,False,False
63,Kalimantan Selatan,2020,4017.0,False,False
63,Kalimantan Selatan,2021,8625.0,False,False
63,Kalimantan Selatan,2022,429.0,False,False
63,Kalimantan Selatan,2023,190394.58,False,False
63,Kalimantan Selatan,2024,4993.88,False,False
63,Kalimantan Selatan,2025,11896.38,False,False
63,Kalimantan Selatan,2026,8019.63,False,True
62,Kalimantan Tengah,2012,183264.0,False,False
62,Kalimantan Tengah,2013,29620.0,False,False
62,Kalimantan Tengah,2014,366841.0,False,False
62,Kalimantan Tengah,2015,583833.44,False,False
62,Kalimantan Tengah,2016,6148.42,False,False
62,Kalimantan Tengah,2017,1743.82,False,False
62,Kalimantan Tengah,2018,47432.57,False,False
62,Kalimantan Tengah,2019,317749.0,False,False
62,Kalimantan Tengah,2020,7681.0,False,False
62,Kalimantan Tengah,2021,3653.0,False,False
62,Kalimantan Tengah,2022,1554.0,False,False
62,Kalimantan Tengah,2023,165896.44,False,False
62,Kalimantan Tengah,2024,11459.89,False,False
62,Kalimantan Tengah,2025,4803.97,False,False
62,Kalimantan Tengah,2026,7634.46,False,True
64,Kalimantan Timur,2012,32069.0,False,False
64,Kalimantan Timur,2013,18904.0,False,False
64,Kalimantan Timur,2014,7082.0,False,False
64,Kalimantan Timur,2015,69352.96,False,False
64,Kalimantan Timur,2016,43136.78,False,False
64,Kalimantan Timur,2017,676.38,False,False
64,Kalimantan Timur,2018,27893.2,False,False
64,Kalimantan Timur,2019,68524.0,False,False
64,Kalimantan Timur,2020,5221.0,False,False
64,Kalimantan Timur,2021,3029.0,False,False
64,Kalimantan Timur,2022,373.0,False,False
64,Kalimantan Timur,2023,39494.41,False,False
64,Kalimantan Timur,2024,22570.5,False,False
64,Kalimantan Timur,2025,9573.14,False,False
64,Kalimantan Timur,2026,2715.76,False,True
65,Kalimantan Utara,2012,8345.0,False,False
65,Kalimantan Utara,2013,152.0,False,False
65,Kalimantan Utara,2014,854.0,False,False
65,Kalimantan Utara,2015,14506.2,False,False
65,Kalimantan Utara,2016,2107.21,False,False
65,Kalimantan Utara,2017,82.22,False,False
65,Kalimantan Utara,2018,627.71,False,False
65,Kalimantan Utara,2019,8559.0,False,False
65,Kalimantan Utara,2020,1721.0,False,False
65,Kalimantan Utara,2021,1678.0,False,False
65,Kalimantan Utara,2022,370.0,False,False
65,Kalimantan Utara,2023,796.36,False,False
65,Kalimantan Utara,2024,2429.21,False,False
65,Kalimantan Utara,2025,2740.97,False,False
65,Kalimantan Utara,2026,400.62,False,True
