bulan,kategori,titik_panas
1,2026,2118
1,El Niño (2015/2019/2023),1519
1,Tahun lain,12064
2,2026,859
2,El Niño (2015/2019/2023),2540
2,Tahun lain,23152
3,2026,3403
3,El Niño (2015/2019/2023),4224
3,Tahun lain,17929
4,2026,1802
4,El Niño (2015/2019/2023),4095
4,Tahun lain,12613
5,El Niño (2015/2019/2023),4508
5,Tahun lain,13016
6,2026,875
6,El Niño (2015/2019/2023),4576
6,Tahun lain,22734
7,2026,7295
7,El Niño (2015/2019/2023),25252
7,Tahun lain,53690
8,2026,92712
8,El Niño (2015/2019/2023),122122
8,Tahun lain,141398
9,2026,63932
9,El Niño (2015/2019/2023),278528
9,Tahun lain,212294
10,El Niño (2015/2019/2023),171788
10,Tahun lain,128236
11,El Niño (2015/2019/2023),24010
11,Tahun lain,26286
12,El Niño (2015/2019/2023),4165
12,Tahun lain,4908
