tahun,titik_panas,frp_mean,frp_total,puncak_bulan
2012,118213,10.778935396276214,1274210.29,109249
2013,73452,12.089767331046126,888017.59,65074
2014,202166,9.522955640414313,1925217.85,162175
2015,370497,7.854711239227309,2910146.95,353212
2016,41750,10.326781077844311,431143.11,27392
2017,23277,8.82417708467586,205400.37,19534
2018,72148,9.864646282641237,711714.5,66331
2019,183026,8.47113907313715,1550438.7,163491
2020,24795,8.80276225045372,218264.49,18945
2021,20934,8.24439667526512,172588.2,15470
2022,17144,7.9931340410639296,137034.29,11572
2023,93804,8.726522962773442,818582.76,85563
2024,36464,9.655864139973673,352091.43,28993
2025,37977,10.118796113437082,384281.52,33617
2026,172996,7.923161633795001,1370675.27,164814
